spine,title,year,director,boxset,movie_id,tmdb_id,runtime_min,genre,country,language,popularity,vote_average,vote_count
862,Canoa: A Shameful Memory,1976,Felipe Cazals,Standalone,canoa-a-shameful-memory-1976,116982,116,"History, Crime, Drama, Thriller",Mexico,es,0.6262,7.8,83
861,45 Years,2015,Andrew Haigh,Standalone,45-years-2015,311291,95,"Drama, Romance",United Kingdom,en,1.8077,6.605,785
860,Mildred Pierce,1945,Michael Curtiz,Standalone,mildred-pierce-1945,3309,111,"Crime, Drama",United States of America,en,2.1377,7.6,441
859,Before Midnight,2013,Richard Linklater,The Before Trilogy,before-midnight-2013,132344,109,"Romance, Drama","Greece, United States of America",en,3.1501,7.499,2664
858,Before Sunset,2004,Richard Linklater,The Before Trilogy,before-sunset-2004,80,80,"Drama, Romance",United States of America,en,3.6979,7.81,3736
857,Before Sunrise,1995,Richard Linklater,The Before Trilogy,before-sunrise-1995,76,101,"Drama, Romance","Austria, United States of America",en,6.0529,7.974,4604
855,Women on the Verge of a Nervous Breakdown,1988,Pedro Almodóvar,Standalone,women-on-the-verge-of-a-nervous-breakdown-1988,4203,88,"Comedy, Drama",Spain,es,1.8317,7.4,986
854,The Tree of Wooden Clogs,1978,Ermanno Olmi,Standalone,the-tree-of-wooden-clogs-1978,31542,187,Drama,Italy,it,1.4777,7.6,235
853,Cameraperson,2016,Kirsten Johnson,Standalone,cameraperson-2016,376534,102,Documentary,United States of America,en,2.4327,6.707,92
852,Black Girl,1966,Ousmane Sembène,Standalone,black-girl-1966,95597,65,Drama,"France, Senegal",fr,1.2455,7.22,168
851,Fox and His Friends,1975,Rainer Werner Fassbinder,Standalone,fox-and-his-friends-1975,42254,125,Drama,Germany,de,0.8045,7.2,148
850,Something Wild,1961,Jack Garfein,Standalone,something-wild-1961,82944,112,Drama,United States of America,en,1.1283,6.2,36
849,His Girl Friday,1940,Howard Hawks,Standalone,his-girl-friday-1940,3085,92,"Comedy, Romance, Drama",United States of America,en,2.1195,7.418,917
848,Roma,1972,Federico Fellini,Essential Fellini,roma-1972,11035,120,"Comedy, Drama","France, Italy",it,2.7564,7.218,355
847,The Asphalt Jungle,1950,John Huston,Standalone,the-asphalt-jungle-1950,16958,113,"Crime, Drama",United States of America,en,1.4907,7.5,530
846,Heart of a Dog,2015,Laurie Anderson,Standalone,heart-of-a-dog-2015,352197,75,Documentary,United States of America,en,0.9799,6.518,54
845,The Squid and the Whale,2005,Noah Baumbach,Standalone,the-squid-and-the-whale-2005,10707,81,"Comedy, Drama",United States of America,en,2.6253,6.953,1061
844,One-Eyed Jacks,1961,Marlon Brando,Standalone,oneeyed-jacks-1961,18647,141,"Western, Drama",United States of America,en,1.8824,6.7,243
843,Punch-Drunk Love,2002,Paul Thomas Anderson,Standalone,punchdrunk-love-2002,8051,96,"Romance, Drama, Comedy",United States of America,en,4.1354,7.104,2683
842,Dreams,1990,Akira Kurosawa,Standalone,dreams-1990,12516,119,"Fantasy, Drama","Japan, United States of America",ja,3.3643,7.733,544
841,Lone Wolf and Cub: White Heaven in Hell,1974,Yoshiyuki Kuroda,Lone Wolf and Cub,lone-wolf-and-cub-white-heaven-in-hell-1974,41486,83,"Action, Adventure, Fantasy, Drama, Thriller",Japan,ja,1.8642,7.1,126
841,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,Kenji Misumi,Lone Wolf and Cub,lone-wolf-and-cub-baby-cart-in-the-land-of-demons-1973,41482,89,"Action, Crime, Thriller, Adventure",Japan,ja,1.3685,7.227,132
841,Lone Wolf and Cub: Baby Cart in Peril,1972,Buichi Saito,Lone Wolf and Cub,lone-wolf-and-cub-baby-cart-in-peril-1972,41477,81,"Action, Adventure, Thriller",Japan,ja,2.6961,7.225,151
841,Lone Wolf and Cub: Baby Cart to Hades,1972,Kenji Misumi,Lone Wolf and Cub,lone-wolf-and-cub-baby-cart-to-hades-1972,41474,89,"Drama, Action, Adventure, Thriller",Japan,ja,1.6609,7,159
841,Lone Wolf and Cub: Baby Cart at the River Styx,1972,Kenji Misumi,Lone Wolf and Cub,lone-wolf-and-cub-baby-cart-at-the-river-styx-1972,17810,81,"Action, Drama, Adventure, Thriller",Japan,ja,1.8036,7.3,191
841,Lone Wolf and Cub: Sword of Vengeance,1972,Kenji Misumi,Lone Wolf and Cub,lone-wolf-and-cub-sword-of-vengeance-1972,41471,84,"Drama, Action, Adventure, Thriller",Japan,ja,1.93,7.3,246
840,The Executioner,1963,Luis García Berlanga,Standalone,the-executioner-1963,178695,94,"Crime, Mystery",Germany,de,0.5145,6.1,21
839,Boyhood,2014,Richard Linklater,Standalone,boyhood-2014,85350,165,Drama,United States of America,en,3.8591,7.492,5458
838,Pan's Labyrinth,2006,Guillermo del Toro,Standalone,pans-labyrinth-2006,1417,118,"Fantasy, Drama, War","Mexico, Spain, United States of America",es,8.9054,7.76,11326
837,Dekalog,1989,Krzysztof Kieślowski,Standalone,dekalog-1989,51110,55,"Drama, TV Movie","Germany, Poland",pl,3.504,7.771,157
836,Beyond the Valley of the Dolls,1970,Russ Meyer,Standalone,beyond-the-valley-of-the-dolls-1970,5722,109,"Comedy, Drama, Music",United States of America,en,1.9151,6.121,210
835,Valley of the Dolls,1967,Mark Robson,Standalone,valley-of-the-dolls-1967,3055,123,"Drama, Romance",United States of America,en,2.8127,5.996,142
834,Blood Simple,1984,Joel Coen & Ethan Coen,Standalone,blood-simple-1984,11368,97,"Crime, Drama, Thriller",United States of America,en,3.2974,7.255,1595
833,Cat People,1942,Jacques Tourneur,Standalone,cat-people-1942,25508,73,"Mystery, Horror, Romance",United States of America,en,2.3038,6.9,661
832,The Story of the Last Chrysanthemum,1939,Kenji Mizoguchi,Standalone,the-story-of-the-last-chrysanthemum-1939,46069,144,"Romance, Drama",Japan,ja,1.6715,7.8,127
831,The Immortal Story,1968,Orson Welles,Standalone,the-immortal-story-1968,84636,58,"Drama, Romance, TV Movie",France,en,0.8991,7.1,89
830,Chimes at Midnight,1965,Orson Welles,Standalone,chimes-at-midnight-1965,986,115,"Comedy, Drama, History, War","Spain, Switzerland",en,1.6165,7.198,240
829,A Taste of Honey,1961,Tony Richardson,Standalone,a-taste-of-honey-1961,25062,100,Drama,United Kingdom,en,0.7954,6.986,111
828,Ingrid Bergman: In Her Own Words,2015,Stig Björkman,Standalone,ingrid-bergman-in-her-own-words-2015,341106,116,"Documentary, History","Finland, Germany, Netherlands, Sweden",sv,0.675,7.1,68
827,McCabe & Mrs. Miller,1971,Robert Altman,Standalone,mccabe-mrs-miller-1971,29005,120,"Western, Drama",United States of America,en,1.5472,7.163,441
826,The New World,2005,Terrence Malick,Standalone,the-new-world-2005,11400,151,"Drama, History, Romance",United States of America,en,3.0163,6.51,1257
825,A Touch of Zen,1970,King Hu,Standalone,a-touch-of-zen-1970,44154,180,"Action, Adventure, Fantasy","Hong Kong, Taiwan",zh,3.2366,7.615,221
824,"Muriel, or the Time of Return",1963,Alain Resnais,Standalone,muriel-or-the-time-of-return-1963,54563,117,Drama,"Italy, France",fr,1.07,6.874,195
823,The In-Laws,1979,Arthur Hiller,Standalone,the-inlaws-1979,19827,103,"Action, Adventure, Comedy, Mystery",United States of America,en,1.5777,6.665,130
822,Clouds of Sils Maria,2014,Olivier Assayas,Standalone,clouds-of-sils-maria-2014,246860,124,Drama,"France, Germany, Switzerland, United States of America",en,1.5957,6.583,800
821,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,Standalone,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964,935,95,"Comedy, War","United Kingdom, United States of America",en,4.3319,8.124,6076
820,Fantastic Planet,1973,René Laloux,Standalone,fantastic-planet-1973,16306,72,"Animation, Science Fiction","Czechoslovakia, France",fr,1.2374,7.6,1083
819,Here Comes Mr. Jordan,1941,Alexander Hall,Standalone,here-comes-mr-jordan-1941,38914,94,"Comedy, Fantasy, Romance",United States of America,en,0.9823,7.008,120
818,La Chienne,1931,Jean Renoir,Standalone,la-chienne-1931,26614,96,"Drama, Crime",France,fr,0.8041,7.328,134
817,Le Amiche,1955,Michelangelo Antonioni,Standalone,le-amiche-1955,46979,104,"Drama, Romance",Italy,it,0.8446,6.708,89
816,Kings of the Road,1976,Wim Wenders,Wim Wenders: The Road Trilogy,kings-of-the-road-1976,10834,176,Drama,Germany,de,1.0506,7.373,146
815,Wrong Move,1975,Wim Wenders,Wim Wenders: The Road Trilogy,wrong-move-1975,20017,103,Drama,Germany,de,0.8564,6.7,91
814,Alice in the Cities,1974,Wim Wenders,Wim Wenders: The Road Trilogy,alice-in-the-cities-1974,2204,110,Drama,Germany,de,1.2993,7.727,332
812,The Player,1992,Robert Altman,Standalone,the-player-1992,10403,124,"Mystery, Drama, Thriller, Comedy, Crime",United States of America,en,3.9315,7.196,929
811,The Naked Island,1960,Kaneto Shindo,Standalone,the-naked-island-1960,3764,97,Drama,Japan,ja,1.1959,8,142
810,In a Lonely Place,1950,Nicholas Ray,Standalone,in-a-lonely-place-1950,17057,93,"Thriller, Drama, Romance, Mystery",United States of America,en,1.8205,7.6,655
809,Phoenix,2014,Christian Petzold,Standalone,phoenix-2014,254578,98,Drama,Germany,de,1.5625,6.84,475
808,Faces of November,1964,Robert Drew,The Kennedy Films of Robert Drew & Associates,faces-of-november-1964,322400,12,Documentary,United States of America,en,0.3774,6.3,16
808,Crisis: Behind a Presidential Commitment,1963,Robert Drew,The Kennedy Films of Robert Drew & Associates,crisis-behind-a-presidential-commitment-1963,162494,52,Documentary,United States of America,en,0.5054,6.9,22
808,Adventures on the New Frontier,1961,Robert Drew,The Kennedy Films of Robert Drew & Associates,adventures-on-the-new-frontier-1961,379895,52,"Documentary, TV Movie",United States of America,en,0.4482,5.5,6
808,Primary,1960,Robert Drew,The Kennedy Films of Robert Drew & Associates,primary-1960,133,53,Documentary,United States of America,en,0.5868,6.4,38
807,Barcelona,1994,Whit Stillman,Standalone,barcelona-1994,16771,100,"Comedy, Drama, Romance",United States of America,en,1.0426,6.2,87
806,Only Angels Have Wings,1939,Howard Hawks,Standalone,only-angels-have-wings-1939,43832,121,"Romance, Adventure, Drama",United States of America,en,1.9291,7.285,272
805,A Poem Is a Naked Person,1974,Les Blank,Standalone,a-poem-is-a-naked-person-1974,126423,96,"Documentary, Music",United States of America,en,0.4693,7.6,8
804,A Brighter Summer Day,1991,Edward Yang,Standalone,a-brighter-summer-day-1991,15804,237,"Crime, Drama, Romance",Taiwan,zh,4.5638,8.267,378
